Date : 2024-10-16 23:27:42
Directory : c:\xampp\htdocs\Raccoon_TODOECHO
Total : 245 files,  26593 codes, 7434 comments, 3567 blanks, all 37594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        124 |     16,002 |      6,914 |      2,372 |     25,288 |
| HTML       |         68 |      4,318 |         53 |        336 |      4,707 |
| XML        |          6 |      2,199 |          3 |          9 |      2,211 |
| CSS        |         11 |      1,707 |         61 |        305 |      2,073 |
| JavaScript |         16 |      1,389 |        342 |        276 |      2,007 |
| Markdown   |          9 |        475 |          0 |        207 |        682 |
| JSON       |          8 |        274 |          0 |          8 |        282 |
| Makefile   |          1 |        176 |         59 |         48 |        283 |
| YAML       |          2 |         53 |          2 |          6 |         61 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        245 |     26,593 |      7,434 |      3,567 |     37,594 |
| . (Files)                                                                                              |          4 |        122 |          0 |          4 |        126 |
| Dashboards                                                                                             |         26 |      2,659 |        429 |        454 |      3,542 |
| Dashboards\Admin                                                                                       |         15 |      1,994 |        223 |        275 |      2,492 |
| Dashboards\Admin\CRUD                                                                                  |         15 |      1,994 |        223 |        275 |      2,492 |
| Dashboards\Admin\CRUD\Controladores                                                                    |          4 |        478 |        130 |         62 |        670 |
| Dashboards\Admin\CRUD\Estilos                                                                          |          1 |        102 |          2 |         23 |        127 |
| Dashboards\Admin\CRUD\Modelos                                                                          |          5 |        308 |         83 |         60 |        451 |
| Dashboards\Admin\CRUD\Vistas                                                                           |          5 |      1,106 |          8 |        130 |      1,244 |
| Dashboards\Cliente                                                                                     |          9 |        588 |        199 |        167 |        954 |
| Dashboards\Cliente (Files)                                                                             |          3 |        114 |          9 |         17 |        140 |
| Dashboards\Cliente\Suscripcion                                                                         |          6 |        474 |        190 |        150 |        814 |
| Dashboards\Entrenador                                                                                  |          2 |         77 |          7 |         12 |         96 |
| Pages                                                                                                  |         15 |      2,167 |        125 |        398 |      2,690 |
| Pages\Actividades                                                                                      |          3 |        430 |         33 |        109 |        572 |
| Pages\Entrenadores                                                                                     |          1 |         35 |          5 |         11 |         51 |
| Pages\Landing                                                                                          |          5 |        860 |         63 |        168 |      1,091 |
| Pages\Navbar                                                                                           |          3 |        151 |         12 |         52 |        215 |
| Pages\Productos                                                                                        |          3 |        691 |         12 |         58 |        761 |
| Users                                                                                                  |          8 |        580 |         44 |        116 |        740 |
| Users (Files)                                                                                          |          4 |        416 |         23 |         79 |        518 |
| Users\Login                                                                                            |          1 |         35 |          5 |          7 |         47 |
| Users\Registro                                                                                         |          2 |        122 |         16 |         30 |        168 |
| Users\Sesiones                                                                                         |          1 |          7 |          0 |          0 |          7 |
| assets                                                                                                 |          2 |        310 |          2 |          4 |        316 |
| assets\img                                                                                             |          2 |        310 |          2 |          4 |        316 |
| config                                                                                                 |        190 |     20,755 |      6,834 |      2,591 |     30,180 |
| config (Files)                                                                                         |          3 |         60 |          9 |         12 |         81 |
| config\libs                                                                                            |        187 |     20,695 |      6,825 |      2,579 |     30,099 |
| config\libs\FPDF                                                                                       |         86 |      6,604 |        288 |        360 |      7,252 |
